Full Name,Phone,Email,Age,Experience,Yearly Income,Has children,License states,Expiration date,License number
Alex Cho,18900991919,cho.cho,12,45,1200.11,TRUE,Alabama,12-12-2030,1xr567
Alexander Cho          ,18900991929,cho.cho@gmail.com,24,2,12010.11,FALSE,Alabama,12-12-2030,1xr568
Alex Nichogo,189009919210,cho.nicho@gmail.com,25,3,1200.12,TRUE,Alabama,12-12-2031,1xr569
Alex,18900,alex@gmail.com,26,4,12010.12,FALSE,Alabama,12-12-2032,1xr570
Alex2,18900991929,cho.cho@gmail.com,27,5,1200,TRUE,Alabama,12-12-2033,1xr571
Alex3,189009919210,cho.nicho@gmail.com,28,6,12010,FALSE,Alabama,12-12-2034,1xr572
Alex4,18900,alex@gmail.com,29,7,1200.14,TRUE,Alabama,12-12-2035,1xr573
Alex5,18900991929,cho.cho@gmail.com,30,8,12010.14,FALSE,Alabama,12-12-2036,1xr574
Alex6,189009919210,cho.nicho@gmail.com,31,9,1200,TRUE,Alabama,12-12-2037,1xr575
Alex8,18900,alex@gmail.com,32,10,12010.15,FALSE,Alabama,12-12-2038,1xr576
Alex10,18900991929,cho.cho@gmail.com,33,11,1200.16,TRUE,Alabama,12-12-2039,1xr577
Alex11,189009919210,cho.nicho@gmail.com,34,12,12010.16,FALSE,Alabama,12-12-2040,1xr578
