Full Name,Phone,Email,Age,Experience,Yearly Income,Has children,License states,Expiration date,License number
Alex Cho,8900991919,alex.cho@gmail.com,20,3,1200.11,TRUE,Alabama,2030-12-12,1xr567
Alexander Cho          ,8900991911,alex.cho@gmail.com,22,28,1300.1,FALSE,California,2030-12-13,1xr568
Alex Nichogo,8900991912,alex.nichogo@gmail.com,23,5,1400.12,TRUE,Alabam,17/18/2000,1xr569
Alex Nicho,8900991913,alex.nicho@gmail.com,24,6,1500.2,FALSE,California,2030-12-15,1xr570
Alexander Nichogo,+18900991914,alexander.nichoggmail.com,25,7,1600.13,TRUE,Alabama,12/18/2024,1xr571
Alex Ogo,890099191,alex.ogo@gmail.com,26,8,1700.3,FALSE,Alabama|California|Colorado,2030-12-17,1xr572
Alexander Ogo,8900991916,alexander.ogo@gmail.com,27,9,12009999.12,,Alabama,12-18-2024,1xr573
Aleksiy Nichogo,+18900991917,aleksiy.nichogo@gmail.com,28,10,1300,FALSE,California,2030-12-19,1xr574
Aleksiy Chogo,8900991918,aleksiy.chogo@gmail.com,29,11,1400.13,HELLO,Alabama,2030-14-20,1xr575
Aleksiy Cho,+18900991919,aleksiy.cho@gmail.com,30,12,1500.3,FALSE,California,2030/12/21,1xr576
Aleksiy Go,8900991920,aleksiy.go@gmail.com,31,13,1600.14,TRUE,Alabama,2030-12-22,1xr577
Aleksiy Ogo,18900991921,aleksiy.ogo@gmail.com,32,14,1700.4,FALSE,California,2030-12-23,1xr578
